"Постійне населення (осіб) - Регіон, Рік, Вікові групи, Тип поселення ,"
"Стать"

" "	" "	" "	"Міські поселення та сільська місцевість"	" "	" "
" "	" "	" "	"Обидві статі"	" чоловіки"	" жінки"
"Україна"
" "	"2012"
" "	" "	"71"	235972	82262	153710
" "	" "	"72"	297309	101567	195742
" "	" "	"73"	384437	130891	253546
" "	" "	"74"	382902	128685	254217
" "	" "	"75"	397713	127910	269803
" "	" "	"76"	400259	126603	273656
" "	" "	"77"	392885	124495	268390
" "	" "	"78"	303595	96104	207491
" "	" "	"79"	236094	73793	162301
" "	" "	"80 і старше"	1438621	383520	1055101
" "	"2016"
" "	" "	"0"	409172	211339	197833
" "	" "	"1"	462489	238053	224436
" "	" "	"2"	471450	242884	228566
" "	" "	"3"	487356	251286	236070
" "	" "	"4"	470537	242525	228012
" "	" "	"5"	465685	239790	225895
" "	" "	"6"	479739	247658	232081
" "	" "	"7"	477651	246292	231359
" "	" "	"8"	441212	226677	214535
" "	" "	"9"	431011	220970	210041
" "	" "	"10"	398896	205415	193481
" "	" "	"11"	400099	205494	194605
" "	" "	"12"	382049	196088	185961
" "	" "	"13"	365398	188378	177020
" "	" "	"14"	351549	180933	170616
" "	" "	"15"	362018	186068	175950
" "	" "	"16"	366728	188132	178596
" "	" "	"17"	390967	199667	191300
" "	" "	"18"	409303	209887	199416
" "	" "	"19"	445062	228717	216345
" "	" "	"20"	464844	239365	225479
" "	" "	"21"	483136	249004	234132
" "	" "	"22"	510561	262351	248210
" "	" "	"23"	547499	281119	266380
" "	" "	"24"	583881	299627	284254
" "	" "	"25"	612369	313751	298618
" "	" "	"26"	639634	326933	312701
" "	" "	"27"	678904	346300	332604
" "	" "	"28"	700457	357229	343228
" "	" "	"29"	743322	377924	365398
" "	" "	"30"	720706	365389	355317
" "	" "	"31"	736924	373599	363325
" "	" "	"32"	746069	377596	368473
" "	" "	"33"	678493	343652	334841
" "	" "	"34"	656924	329211	327713
" "	" "	"35"	671042	336112	334930
" "	" "	"36"	632843	316073	316770
" "	" "	"37"	628059	311492	316567
" "	" "	"38"	606774	299213	307561
" "	" "	"39"	638746	314648	324098
" "	" "	"40"	625422	305622	319800
" "	" "	"41"	608258	296250	312008
" "	" "	"42"	592620	288153	304467
" "	" "	"43"	610260	295105	315155
" "	" "	"44"	604322	292515	311807
" "	" "	"45"	598204	288882	309322
" "	" "	"46"	549243	262769	286474
" "	" "	"47"	556754	265315	291439
" "	" "	"48"	548420	259160	289260
" "	" "	"49"	563779	264886	298893
" "	" "	"50"	556891	259215	297676
" "	" "	"51"	580454	268174	312280
" "	" "	"52"	617756	282787	334969
" "	" "	"53"	630116	286276	343840
" "	" "	"54"	651476	295213	356263
" "	" "	"55"	672000	302282	369718
" "	" "	"56"	637907	283130	354777
" "	" "	"57"	629512	276830	352682
" "	" "	"58"	598789	260318	338471
" "	" "	"59"	591928	254431	337497
" "	" "	"60"	547924	232462	315462
" "	" "	"61"	558239	233782	324457
" "	" "	"62"	504742	208379	296363
" "	" "	"63"	522341	212821	309520
" "	" "	"64"	515102	208929	306173
" "	" "	"65"	504398	202140	302258
" "	" "	"66"	514301	201406	312895
" "	" "	"67"	423593	164310	259283
" "	" "	"68"	369280	140031	229249
" "	" "	"69"	351980	129849	222131
" "	" "	"70"	227984	81538	146446
" "	" "	"71"	257690	89398	168292
" "	" "	"72"	226975	77468	149507
" "	" "	"73"	285034	95195	189839
" "	" "	"74"	368301	122876	245425
" "	" "	"75"	365066	119964	245102
" "	" "	"76"	376934	118369	258565
" "	" "	"77"	377437	116399	261038
" "	" "	"78"	367864	113614	254250
" "	" "	"79"	282648	87444	195204
" "	" "	"80 і старше"	1469377	397353	1072024
" "	"2017"
" "	" "	"0"	394626	203793	190833
" "	" "	"1"	408645	211045	197600
" "	" "	"2"	462265	237929	224336
" "	" "	"3"	471308	242802	228506
" "	" "	"4"	487231	251201	236030
" "	" "	"5"	470434	242467	227967
" "	" "	"6"	465594	239738	225856
" "	" "	"7"	479645	247603	232042
" "	" "	"8"	477573	246238	231335
" "	" "	"9"	441134	226623	214511
" "	" "	"10"	430964	220944	210020
" "	" "	"11"	398813	205363	193450
" "	" "	"12"	400030	205461	194569
" "	" "	"13"	381977	196045	185932
" "	" "	"14"	365297	188298	176999
" "	" "	"15"	351424	180859	170565
" "	" "	"16"	361912	185990	175922
" "	" "	"17"	366734	188144	178590
" "	" "	"18"	391384	199959	191425
" "	" "	"19"	410177	210527	199650
" "	" "	"20"	445603	229118	216485
" "	" "	"21"	465040	239503	225537
" "	" "	"22"	483244	249094	234150
" "	" "	"23"	510421	262233	248188
" "	" "	"24"	547264	280918	266346
" "	" "	"25"	583565	299374	284191
" "	" "	"26"	611950	313398	298552
" "	" "	"27"	639041	326497	312544
" "	" "	"28"	678228	345782	332446
" "	" "	"29"	699675	356606	343069
" "	" "	"30"	742282	377087	365195
" "	" "	"31"	719665	364603	355062
" "	" "	"32"	735679	372641	363038
" "	" "	"33"	744597	376464	368133
" "	" "	"34"	677042	342549	334493
" "	" "	"35"	655291	327960	327331
" "	" "	"36"	669283	334798	334485
" "	" "	"37"	630860	314568	316292
" "	" "	"38"	625961	309988	315973
" "	" "	"39"	604617	297602	307015
" "	" "	"40"	636361	312866	323495
" "	" "	"41"	623018	303838	319180
" "	" "	"42"	605632	294323	311309
" "	" "	"43"	589869	286146	303723
" "	" "	"44"	607385	293019	314366
" "	" "	"45"	601245	290310	310935
" "	" "	"46"	595107	286619	308488
" "	" "	"47"	546188	260553	285635
" "	" "	"48"	553304	262840	290464
" "	" "	"49"	544798	256572	288226
" "	" "	"50"	559851	262022	297829
" "	" "	"51"	552827	256251	296576
" "	" "	"52"	575882	264837	311045
" "	" "	"53"	612612	279060	333552
" "	" "	"54"	624406	282185	342221
" "	" "	"55"	645368	290839	354529
" "	" "	"56"	665137	297343	367794
" "	" "	"57"	630784	278088	352696
" "	" "	"58"	621818	271496	350322
" "	" "	"59"	590919	254987	335932
" "	" "	"60"	583335	248445	334890
" "	" "	"61"	539060	226389	312671
" "	" "	"62"	548830	227425	321405
" "	" "	"63"	495259	202048	293211
" "	" "	"64"	511901	205987	305914
" "	" "	"65"	504167	201870	302297
" "	" "	"66"	493104	195133	297971
" "	" "	"67"	501467	193619	307848
" "	" "	"68"	412394	157589	254805
" "	" "	"69"	358613	133813	224800
" "	" "	"70"	341261	123737	217524
" "	" "	"71"	220501	77479	143022
" "	" "	"72"	247744	84158	163586
" "	" "	"73"	217680	72744	144936
" "	" "	"74"	272273	88760	183513
" "	" "	"75"	351525	114938	236587
" "	" "	"76"	346812	111518	235294
" "	" "	"77"	355628	108821	246807
" "	" "	"78"	354350	106602	247748
" "	" "	"79"	342829	103244	239585
" "	" "	"80 і старше"	1547186	424255	1122931
" "	"2018"
" "	" "	"0"	361789	186249	175540
" "	" "	"1"	394316	203612	190704
" "	" "	"2"	408532	210970	197562
" "	" "	"3"	462137	237860	224277
" "	" "	"4"	471199	242735	228464
" "	" "	"5"	487123	251130	235993
" "	" "	"6"	470302	242412	227890
" "	" "	"7"	465514	239702	225812
" "	" "	"8"	479558	247559	231999
" "	" "	"9"	477474	246176	231298
" "	" "	"10"	441059	226564	214495
" "	" "	"11"	430887	220909	209978
" "	" "	"12"	398720	205307	193413
" "	" "	"13"	399954	205406	194548
" "	" "	"14"	381926	196012	185914
" "	" "	"15"	365209	188228	176981
" "	" "	"16"	351393	180824	170569
" "	" "	"17"	362205	186186	176019
" "	" "	"18"	368336	189258	179078
" "	" "	"19"	393500	201471	192029
" "	" "	"20"	411514	211406	200108
" "	" "	"21"	445723	229126	216597
" "	" "	"22"	464281	238811	225470
" "	" "	"23"	482355	248375	233980
" "	" "	"24"	509637	261652	247985
" "	" "	"25"	546341	280177	266164
" "	" "	"26"	582797	298720	284077
" "	" "	"27"	611096	312702	298394
" "	" "	"28"	638355	325929	312426
" "	" "	"29"	677361	345074	332287
" "	" "	"30"	698733	355862	342871
" "	" "	"31"	741196	376261	364935
" "	" "	"32"	718508	363707	354801
" "	" "	"33"	734367	371652	362715
" "	" "	"34"	743118	375315	367803
" "	" "	"35"	675531	341427	334104
" "	" "	"36"	653759	326819	326940
" "	" "	"37"	667400	333438	333962
" "	" "	"38"	628973	313194	315779
" "	" "	"39"	623854	308440	315414
" "	" "	"40"	602372	295959	306413
" "	" "	"41"	634056	311141	322915
" "	" "	"42"	620601	302079	318522
" "	" "	"43"	602877	292295	310582
" "	" "	"44"	587140	284147	302993
" "	" "	"45"	604581	291008	313573
" "	" "	"46"	598111	288046	310065
" "	" "	"47"	591828	284217	307611
" "	" "	"48"	543027	258279	284748
" "	" "	"49"	549883	260336	289547
" "	" "	"50"	540919	253738	287181
" "	" "	"51"	555788	259091	296697
" "	" "	"52"	548667	253238	295429
" "	" "	"53"	571144	261415	309729
" "	" "	"54"	607217	275157	332060
" "	" "	"55"	618382	277815	340567
" "	" "	"56"	639060	286253	352807
" "	" "	"57"	658082	292336	365746
" "	" "	"58"	623390	272802	350588
" "	" "	"59"	613864	265998	347866
" "	" "	"60"	582590	249164	333426
" "	" "	"61"	574648	242464	332184
" "	" "	"62"	530112	220318	309794
" "	" "	"63"	539149	220974	318175
" "	" "	"64"	485976	195975	290001
" "	" "	"65"	501423	199191	302232
" "	" "	"66"	493016	194822	298194
" "	" "	"67"	481354	187846	293508
" "	" "	"68"	488077	185654	302423
" "	" "	"69"	400651	150706	249945
" "	" "	"70"	347745	127622	220123
" "	" "	"71"	330123	117577	212546
" "	" "	"72"	213082	73484	139598
" "	" "	"73"	237472	78939	158533
" "	" "	"74"	208152	68046	140106
" "	" "	"75"	259397	82581	176816
" "	" "	"76"	335004	107218	227786
" "	" "	"77"	328293	103162	225131
" "	" "	"78"	334278	99682	234596
" "	" "	"79"	331301	97145	234156
" "	" "	"80 і старше"	1677902	463603	1214299

"У таблиці передбачена можливість отримувати окремі значення в "
"агрегаціях, а саме 5 рiчні вiковi групи; окремi вiковi групи. Перехід "
"до агрегованих значень здійснюється у вікні побудови таблиці через "
"випадаюче меню з назви змінної Вікові групи."

"Дані станом на 1 січня відповідного року."

"Без тимчасово окупованої території Автономної Республіки "
"Крим та м.Севастополя. "
"Розрахунки (оцінки) чисельності населення здійснено на "
"основі наявних адміністративних даних щодо державної "
"реєстрації народження і смерті та зміни реєстрації місця "
"проживання."

"Без тимчасово окупованої території Автономної Республіки "
"Крим та м.Севастополя. "
"Розрахунки (оцінки) чисельності населення здійснено на "
"основі наявних адміністративних даних щодо державної "
"реєстрації народження і смерті та зміни реєстрації місця "
"проживання."

"Без тимчасово окупованої території Автономної Республіки "
"Крим та м.Севастополя. "
"Розрахунки (оцінки) чисельності населення здійснено на "
"основі наявних адміністративних даних щодо державної "
"реєстрації народження і смерті та зміни реєстрації місця "
"проживання."

"Без тимчасово окупованої території Автономної Республіки "
"Крим та м.Севастополя. "
"Розрахунки (оцінки) чисельності населення здійснено на "
"основі наявних адміністративних даних щодо державної "
"реєстрації народження і смерті та зміни реєстрації місця "
"проживання."

